id,day,name,meal,category,item
408,Tomorrow,Porter,Dinner,Open Bars,Braised Kale with Shallots
409,Tomorrow,Porter,Dinner,Open Bars,Condiments
410,Tomorrow,Porter,Dinner,Open Bars,Peruvian Bar
411,Tomorrow,Porter,Dinner,Open Bars,Peruvian Beef Saltado
412,Tomorrow,Porter,Dinner,Open Bars,Roasted Corn
413,Tomorrow,Porter,Dinner,Open Bars,White Quinoa
414,Tomorrow,Porter,Dinner,DH Baked,Vegan Chocolate Chip Cookie
415,Tomorrow,Porter,Late Night,Grill,Allergen Free Halal Chicken Thigh
416,Tomorrow,Porter,Late Night,Grill,Curly Fries
417,Tomorrow,Porter,Late Night,Grill,Falafel  Wrap
418,Tomorrow,Porter,Late Night,Grill,Tofu with Kosher Salt
419,Tomorrow,Porter,Late Night,Pizza,Cheese Pizza
420,Tomorrow,Porter,Late Night,Pizza,Thai Chicken Pizza
421,Tomorrow,Porter,Late Night,Open Bars,Black Beans with Cumin Spice
422,Tomorrow,Porter,Late Night,Open Bars,Braised Kale with Shallots
423,Tomorrow,Porter,Late Night,Open Bars,Condiments
424,Tomorrow,Porter,Late Night,Open Bars,Peruvian Bar
425,Tomorrow,Porter,Late Night,Open Bars,Peruvian Beef Saltado
426,Tomorrow,Porter,Late Night,Open Bars,Roasted Corn
427,Tomorrow,Porter,Late Night,Open Bars,White Quinoa
428,Day after tommorw,Nine,Breakfast,Breakfast,Blueberry Whole Wheat Pancakes
429,Day after tommorw,Nine,Breakfast,Breakfast,Chicken Apple Sausage
430,Day after tommorw,Nine,Breakfast,Breakfast,Hard-boiled Cage Free Egg (1)
431,Day after tommorw,Nine,Breakfast,Breakfast,Organic Oatmeal Gluten-Free
432,Day after tommorw,Nine,Breakfast,Breakfast,Roasted Yukon Gold Potatoes
433,Day after tommorw,Nine,Breakfast,Breakfast,"Tempeh, Black Bean and Potato Hash"
434,Day after tommorw,Nine,Breakfast,Entrees,Cage-Free Scrambled Eggs
435,Day after tommorw,Nine,Breakfast,Clean Plate,Steamed Rice
436,Day after tommorw,Nine,Lunch,Soups,Chicken Spaetzle Soup
437,Day after tommorw,Nine,Lunch,Soups,Chipotle Cuban Black Bean Soup
438,Day after tommorw,Nine,Lunch,Entrees,Garlic Thyme Mushrooms
439,Day after tommorw,Nine,Lunch,Entrees,Herbed Lentils
440,Day after tommorw,Nine,Lunch,Entrees,Italian Roasted Tofu
441,Day after tommorw,Nine,Lunch,Entrees,Marinara Sauce
442,Day after tommorw,Nine,Lunch,Entrees,Meatballs
443,Day after tommorw,Nine,Lunch,Entrees,Roasted Garlic Oil
444,Day after tommorw,Nine,Lunch,Entrees,Steamed Green Beans
445,Day after tommorw,Nine,Lunch,Pizza,Cheese Pizza
446,Day after tommorw,Nine,Lunch,Pizza,Linguisa Pizza
447,Day after tommorw,Nine,Lunch,Clean Plate,Allergen Free Halal Chicken Thigh
448,Day after tommorw,Nine,Lunch,Clean Plate,Steamed Rice
449,Day after tommorw,Nine,Lunch,Clean Plate,Tofu with Kosher Salt
450,Day after tommorw,Nine,Lunch,Bakery,Cream Cheese Swirled Brownie
451,Day after tommorw,Nine,Lunch,Open Bars,BAR Wings
452,Day after tommorw,Nine,Lunch,Open Bars,BBQ Wings
453,Day after tommorw,Nine,Lunch,Open Bars,Baked Beans
454,Day after tommorw,Nine,Lunch,Open Bars,Condiments
455,Day after tommorw,Nine,Lunch,Open Bars,Hawaiian Coleslaw
456,Day after tommorw,Nine,Lunch,Open Bars,Hot 'N Spicy Wings
457,Day after tommorw,Nine,Lunch,Open Bars,Teriyaki Glazed Wings
458,Day after tommorw,Nine,Lunch,Open Bars,Vegan Tenders
459,Day after tommorw,Nine,Dinner,Soups,Chicken Spaetzle Soup
460,Day after tommorw,Nine,Dinner,Soups,Chipotle Cuban Black Bean Soup
461,Day after tommorw,Nine,Dinner,Entrees,Roasted Cauliflower
462,Day after tommorw,Nine,Dinner,Entrees,Spicy Garbanzo and Vegetable Stir Fry
463,Day after tommorw,Nine,Dinner,Entrees,Steamed Rice
464,Day after tommorw,Nine,Dinner,Entrees,Sustainable Scampi with Tomato and Spinach
465,Day after tommorw,Nine,Dinner,Pizza,Cheese Pizza
466,Day after tommorw,Nine,Dinner,Pizza,Linguisa Pizza
467,Day after tommorw,Nine,Dinner,Clean Plate,Allergen Free Halal Chicken Thigh
468,Day after tommorw,Nine,Dinner,Clean Plate,Steamed Rice
469,Day after tommorw,Nine,Dinner,Clean Plate,Tofu with Kosher Salt
470,Day after tommorw,Nine,Dinner,Bakery,Chocolate Cream Pie
471,Day after tommorw,Nine,Dinner,Bakery,White Cake with Chocolate Frosting
472,Day after tommorw,Nine,Dinner,Open Bars,BAR Yakisoba Noodles
473,Day after tommorw,Nine,Dinner,Open Bars,Char Siu Chicken
474,Day after tommorw,Nine,Dinner,Open Bars,Char Siu Gardein
475,Day after tommorw,Nine,Dinner,Open Bars,Char Siu Sauce
476,Day after tommorw,Nine,Dinner,Open Bars,Condiments
477,Day after tommorw,Nine,Dinner,Open Bars,Sauteed Bok Choy and Carrots with Sesame
478,Day after tommorw,Nine,Dinner,Open Bars,Sesame Yakisoba Noodles
479,Day after tommorw,Nine,Late Night,Grill,Allergen Free Halal Chicken Thigh
480,Day after tommorw,Nine,Late Night,Grill,Tofu with Kosher Salt
481,Day after tommorw,Nine,Late Night,Pizza,Cheese Pizza
482,Day after tommorw,Nine,Late Night,Pizza,Linguisa Pizza
483,Day after tommorw,Nine,Late Night,Open Bars,BAR Yakisoba Noodles
484,Day after tommorw,Nine,Late Night,Open Bars,Char Siu Chicken
485,Day after tommorw,Nine,Late Night,Open Bars,Char Siu Gardein
486,Day after tommorw,Nine,Late Night,Open Bars,Char Siu Sauce
487,Day after tommorw,Nine,Late Night,Open Bars,Condiments
488,Day after tommorw,Nine,Late Night,Open Bars,Sauteed Bok Choy and Carrots with Sesame
489,Day after tommorw,Nine,Late Night,Open Bars,Sesame Yakisoba Noodles
490,Day after tommorw,Cowell,Breakfast,Breakfast,Hard-boiled Cage Free Egg (1)
491,Day after tommorw,Cowell,Breakfast,Breakfast,Harissa Potatoes
492,Day after tommorw,Cowell,Breakfast,Breakfast,Orange French Toast
493,Day after tommorw,Cowell,Breakfast,Breakfast,Organic Oatmeal Gluten-Free
494,Day after tommorw,Cowell,Breakfast,Breakfast,Thai Tofu Scramble
495,Day after tommorw,Cowell,Breakfast,Breakfast,Turkey Sausage Patties
496,Day after tommorw,Cowell,Breakfast,Entrees,Cage-Free Scrambled Eggs
497,Day after tommorw,Cowell,Breakfast,Clean Plate,Steamed Rice
498,Day after tommorw,Cowell,Breakfast,Bakery,House Baked Cinnamon Rolls
499,Day after tommorw,Cowell,Breakfast,Bakery,Maple Pecan Breakfast Bar
500,Day after tommorw,Cowell,Breakfast,Bakery,Strawberry Crunch Breakfast Bar
501,Day after tommorw,Cowell,Lunch,Soups,Mushroom & Barley Soup
502,Day after tommorw,Cowell,Lunch,Soups,Thai Coconut Curry Chicken Soup
503,Day after tommorw,Cowell,Lunch,Entrees,Calypso Black Beans and Rice
504,Day after tommorw,Cowell,Lunch,Entrees,Havana Banana BBQ'd Chicken
505,Day after tommorw,Cowell,Lunch,Entrees,Roasted Carrots
506,Day after tommorw,Cowell,Lunch,Grill,Allergen Free Halal Chicken Thigh
507,Day after tommorw,Cowell,Lunch,Grill,Tofu with Kosher Salt
508,Day after tommorw,Cowell,Lunch,Pizza,Cheese Pizza
509,Day after tommorw,Cowell,Lunch,Pizza,Cilantro Flatbread with Red Onions and Mushrooms
510,Day after tommorw,Cowell,Lunch,Clean Plate,Steamed Rice
511,Day after tommorw,Cowell,Lunch,Bakery,Cream Cheese Swirled Brownie
512,Day after tommorw,Cowell,Lunch,Open Bars,Bar Pasta
513,Day after tommorw,Cowell,Lunch,Open Bars,Bolognese Sauce
514,Day after tommorw,Cowell,Lunch,Open Bars,Cheese Tortellini
515,Day after tommorw,Cowell,Lunch,Open Bars,Cheesy Garlic Bread Sticks
516,Day after tommorw,Cowell,Lunch,Open Bars,Condiments
517,Day after tommorw,Cowell,Lunch,Open Bars,Gluten Free Rotini Pasta
518,Day after tommorw,Cowell,Lunch,Open Bars,Marinara Sauce
519,Day after tommorw,Cowell,Lunch,Open Bars,Penne
520,Day after tommorw,Cowell,Lunch,Open Bars,Steamed Green Beans
521,Day after tommorw,Cowell,Lunch,DH Baked,Sugar Cookie
522,Day after tommorw,Cowell,Dinner,Soups,Mushroom & Barley Soup
523,Day after tommorw,Cowell,Dinner,Soups,Thai Coconut Curry Chicken Soup
524,Day after tommorw,Cowell,Dinner,Entrees,Apple Honey Ginger Pork Loin
525,Day after tommorw,Cowell,Dinner,Entrees,Garlic Thyme Mushrooms
526,Day after tommorw,Cowell,Dinner,Entrees,Red Parslied Potatoes and Olive Oil
527,Day after tommorw,Cowell,Dinner,Entrees,Vegan Collard Greens
528,Day after tommorw,Cowell,Dinner,Grill,Allergen Free Halal Chicken Thigh
529,Day after tommorw,Cowell,Dinner,Grill,Tofu with Kosher Salt
530,Day after tommorw,Cowell,Dinner,Pizza,Cheese Pizza
531,Day after tommorw,Cowell,Dinner,Pizza,Cilantro Flatbread with Red Onions and Mushrooms
532,Day after tommorw,Cowell,Dinner,Clean Plate,Steamed Rice
533,Day after tommorw,Cowell,Dinner,Bakery,Chocolate Cream Pie
534,Day after tommorw,Cowell,Dinner,Bakery,White Cake with Chocolate Frosting
535,Day after tommorw,Cowell,Dinner,Open Bars,BAR Wings
536,Day after tommorw,Cowell,Dinner,Open Bars,BBQ Wings
537,Day after tommorw,Cowell,Dinner,Open Bars,Buffalo Cauliflower
538,Day after tommorw,Cowell,Dinner,Open Bars,Condiments
539,Day after tommorw,Cowell,Dinner,Open Bars,Hawaiian Coleslaw
540,Day after tommorw,Cowell,Dinner,Open Bars,Hot 'N Spicy Wings
541,Day after tommorw,Cowell,Dinner,Open Bars,Teriyaki Glazed Wings
542,Day after tommorw,Cowell,Dinner,Open Bars,Vegan Tenders
543,Day after tommorw,Cowell,Late Night,Grill,Allergen Free Halal Chicken Thigh
544,Day after tommorw,Cowell,Late Night,Grill,Barcelona Steak Sandwich
545,Day after tommorw,Cowell,Late Night,Grill,Tater Tots
546,Day after tommorw,Cowell,Late Night,Grill,Tofu with Kosher Salt
547,Day after tommorw,Cowell,Late Night,Pizza,Cheese Pizza
548,Day after tommorw,Cowell,Late Night,Pizza,Cilantro Flatbread with Red Onions and Mushrooms
549,Day after tommorw,Cowell,Late Night,Open Bars,BAR Wings
550,Day after tommorw,Cowell,Late Night,Open Bars,BBQ Wings
551,Day after tommorw,Cowell,Late Night,Open Bars,Buffalo Cauliflower
552,Day after tommorw,Cowell,Late Night,Open Bars,Condiments
553,Day after tommorw,Cowell,Late Night,Open Bars,Hawaiian Coleslaw
554,Day after tommorw,Cowell,Late Night,Open Bars,Hot 'N Spicy Wings
555,Day after tommorw,Cowell,Late Night,Open Bars,Teriyaki Glazed Wings
556,Day after tommorw,Cowell,Late Night,Open Bars,Vegan Tenders
557,Day after tommorw,Cowell,Late Night,DH Baked,Mint Condition Pacific Cookie Co.
558,Day after tommorw,Cowell,Late Night,DH Baked,Sugar Cookie
559,Day after tommorw,Merrill,Breakfast,Breakfast,Bob's Red Mill Gluten-Free Pancakes
560,Day after tommorw,Merrill,Breakfast,Breakfast,Cajun Roasted Red Potatoes
561,Day after tommorw,Merrill,Breakfast,Breakfast,Crispy Bacon
562,Day after tommorw,Merrill,Breakfast,Breakfast,Hard-boiled Cage Free Egg (1)
563,Day after tommorw,Merrill,Breakfast,Breakfast,Organic Oatmeal Gluten-Free
564,Day after tommorw,Merrill,Breakfast,Breakfast,Thai Tofu Scramble
565,Day after tommorw,Merrill,Breakfast,Entrees,Cage-Free Scrambled Eggs
566,Day after tommorw,Merrill,Breakfast,Clean Plate,Steamed Rice
567,Day after tommorw,Merrill,Breakfast,Bakery,House Baked Cinnamon Rolls
568,Day after tommorw,Merrill,Breakfast,Bakery,Maple Pecan Breakfast Bar
569,Day after tommorw,Merrill,Breakfast,Bakery,Strawberry Crunch Breakfast Bar
570,Day after tommorw,Merrill,Lunch,Soups,Chicken Tortilla Soup
571,Day after tommorw,Merrill,Lunch,Soups,Garden Vegetable Soup
572,Day after tommorw,Merrill,Lunch,Entrees,Farfalle Pasta
573,Day after tommorw,Merrill,Lunch,Entrees,Gluten Free Penne Pasta
574,Day after tommorw,Merrill,Lunch,Entrees,Marinara Sauce
575,Day after tommorw,Merrill,Lunch,Entrees,Roasted Garlic Oil
576,Day after tommorw,Merrill,Lunch,Entrees,Sauteed Rainbow Chard with Garlic Oil
577,Day after tommorw,Merrill,Lunch,Entrees,White Beans
578,Day after tommorw,Merrill,Lunch,Grill,Allergen Free Halal Chicken Thigh
579,Day after tommorw,Merrill,Lunch,Grill,Tofu with Kosher Salt
580,Day after tommorw,Merrill,Lunch,Pizza,Cheese Pizza
581,Day after tommorw,Merrill,Lunch,Pizza,Combo Meat Pizza
582,Day after tommorw,Merrill,Lunch,Clean Plate,Steamed Rice
583,Day after tommorw,Merrill,Lunch,Bakery,Cream Cheese Swirled Brownie
584,Day after tommorw,Merrill,Lunch,Open Bars,Bar Indian
585,Day after tommorw,Merrill,Lunch,Open Bars,Basmati Rice Pullao
586,Day after tommorw,Merrill,Lunch,Open Bars,Cauliflower Lentil Dal
587,Day after tommorw,Merrill,Lunch,Open Bars,Chickpea Curry with Tomato and Kale
588,Day after tommorw,Merrill,Lunch,Open Bars,Condiments
589,Day after tommorw,Merrill,Lunch,Open Bars,Potato Samosas
590,Day after tommorw,Merrill,Lunch,Open Bars,Tandoori Chicken
591,Day after tommorw,Merrill,Lunch,DH Baked,Sugar Cookie
592,Day after tommorw,Merrill,Dinner,Soups,Chicken Tortilla Soup
593,Day after tommorw,Merrill,Dinner,Soups,Garden Vegetable Soup
594,Day after tommorw,Merrill,Dinner,Entrees,Grilled Balsamic Tofu
595,Day after tommorw,Merrill,Dinner,Entrees,Italian Roasted Squash and Carrots
596,Day after tommorw,Merrill,Dinner,Entrees,Sustainable Scampi with Tomato and Spinach
597,Day after tommorw,Merrill,Dinner,Entrees,Vegan Garlic Fettuccini
598,Day after tommorw,Merrill,Dinner,Grill,Allergen Free Halal Chicken Thigh
599,Day after tommorw,Merrill,Dinner,Grill,Tofu with Kosher Salt
600,Day after tommorw,Merrill,Dinner,Pizza,Cheese Pizza
601,Day after tommorw,Merrill,Dinner,Pizza,Combo Meat Pizza
602,Day after tommorw,Merrill,Dinner,Clean Plate,Steamed Rice
603,Day after tommorw,Merrill,Dinner,Bakery,Chocolate Cream Pie
604,Day after tommorw,Merrill,Dinner,Bakery,White Cake with Chocolate Frosting
605,Day after tommorw,Merrill,Dinner,Open Bars,Beef For Pho
606,Day after tommorw,Merrill,Dinner,Open Bars,Condiments
607,Day after tommorw,Merrill,Dinner,Open Bars,Pho Rice Noodle
608,Day after tommorw,Merrill,Dinner,Open Bars,Steamed Bok Choy
609,Day after tommorw,Merrill,Dinner,Open Bars,Tofu For Pho
610,Day after tommorw,Merrill,Dinner,Open Bars,Vietnamese Pho Broth
611,Day after tommorw,Merrill,Dinner,Open Bars,Vietnamese Pho Noodle Bar
612,Day after tommorw,Porter,Breakfast,Breakfast,Biscuit and Gravy
613,Day after tommorw,Porter,Breakfast,Breakfast,Hard-boiled Cage Free Egg (1)
614,Day after tommorw,Porter,Breakfast,Breakfast,Organic Oatmeal Gluten-Free
615,Day after tommorw,Porter,Breakfast,Breakfast,Sausage Patties
616,Day after tommorw,Porter,Breakfast,Breakfast,"Sweet Potato, Black Bean, and Kale Hash"
617,Day after tommorw,Porter,Breakfast,Breakfast,Tater Tots
618,Day after tommorw,Porter,Breakfast,Entrees,Cage-Free Scrambled Eggs
619,Day after tommorw,Porter,Breakfast,Clean Plate,Steamed Rice
620,Day after tommorw,Porter,Breakfast,Bakery,House Baked Cinnamon Rolls
621,Day after tommorw,Porter,Breakfast,Bakery,Maple Pecan Breakfast Bar
622,Day after tommorw,Porter,Breakfast,Bakery,Strawberry Crunch Breakfast Bar
623,Day after tommorw,Porter,Lunch,Soups,Organic Kale and Sweet Potato Soup
624,Day after tommorw,Porter,Lunch,Soups,Turkey Noodle Soup
625,Day after tommorw,Porter,Lunch,Entrees,Grilled Huli Huli Chicken
626,Day after tommorw,Porter,Lunch,Entrees,Hawaiian Coleslaw
627,Day after tommorw,Porter,Lunch,Entrees,Roasted Vegetables
628,Day after tommorw,Porter,Lunch,Entrees,Teriyaki Tofu
629,Day after tommorw,Porter,Lunch,Grill,Allergen Free Halal Chicken Thigh
630,Day after tommorw,Porter,Lunch,Grill,Tofu with Kosher Salt
631,Day after tommorw,Porter,Lunch,Pizza,Bacon and Ranch Pizza
632,Day after tommorw,Porter,Lunch,Pizza,Cheese Pizza
633,Day after tommorw,Porter,Lunch,Clean Plate,Steamed Rice
634,Day after tommorw,Porter,Lunch,Open Bars,Chicken For Pho
635,Day after tommorw,Porter,Lunch,Open Bars,Condiments
636,Day after tommorw,Porter,Lunch,Open Bars,Pho Rice Noodle
637,Day after tommorw,Porter,Lunch,Open Bars,Steamed Bok Choy
638,Day after tommorw,Porter,Lunch,Open Bars,Tofu For Pho
639,Day after tommorw,Porter,Lunch,Open Bars,Vietnamese Pho Broth
640,Day after tommorw,Porter,Lunch,Open Bars,Vietnamese Pho Noodle Bar
641,Day after tommorw,Porter,Lunch,DH Baked,Sugar Cookie
642,Day after tommorw,Porter,Dinner,Soups,Organic Kale and Sweet Potato Soup
643,Day after tommorw,Porter,Dinner,Soups,Turkey Noodle Soup
644,Day after tommorw,Porter,Dinner,Entrees,Asian Baked Tofu
645,Day after tommorw,Porter,Dinner,Entrees,Honey Sesame Cod
646,Day after tommorw,Porter,Dinner,Entrees,Roasted Broccoli Rabe
647,Day after tommorw,Porter,Dinner,Entrees,Steamed Brown Rice
648,Day after tommorw,Porter,Dinner,Grill,Allergen Free Halal Chicken Thigh
649,Day after tommorw,Porter,Dinner,Grill,Tofu with Kosher Salt
650,Day after tommorw,Porter,Dinner,Clean Plate,Steamed Rice
651,Day after tommorw,Porter,Dinner,Bakery,Chocolate Cream Pie
652,Day after tommorw,Porter,Dinner,Bakery,White Cake with Chocolate Frosting
653,Day after tommorw,Porter,Dinner,Open Bars,Braised Pork
654,Day after tommorw,Porter,Dinner,Open Bars,Cattleman's Smoky BBQ Sauce
655,Day after tommorw,Porter,Dinner,Open Bars,Chipotle Vegan Chik'n Strips
656,Day after tommorw,Porter,Dinner,Open Bars,Mac & Cheese Bar Condiments
657,Day after tommorw,Porter,Dinner,Open Bars,Mac and Cheese Bar
658,Day after tommorw,Porter,Dinner,Open Bars,Macaroni & Cheese
659,Day after tommorw,Porter,Dinner,Open Bars,Steamed Broccoli
660,Day after tommorw,Porter,Dinner,Open Bars,Vegan Macaroni & Cheese
661,Day after tommorw,Porter,Late Night,Grill,Allergen Free Halal Chicken Thigh
662,Day after tommorw,Porter,Late Night,Grill,Chili Cheese Hot Dog
663,Day after tommorw,Porter,Late Night,Grill,Tofu with Kosher Salt
664,Day after tommorw,Porter,Late Night,Pizza,Bacon and Ranch Pizza
665,Day after tommorw,Porter,Late Night,Pizza,Cheese Pizza
666,Day after tommorw,Porter,Late Night,Open Bars,Braised Pork
667,Day after tommorw,Porter,Late Night,Open Bars,Cattleman's Smoky BBQ Sauce
668,Day after tommorw,Porter,Late Night,Open Bars,Chipotle Vegan Chik'n Strips
669,Day after tommorw,Porter,Late Night,Open Bars,Mac & Cheese Bar Condiments
670,Day after tommorw,Porter,Late Night,Open Bars,Mac and Cheese Bar
671,Day after tommorw,Porter,Late Night,Open Bars,Macaroni & Cheese
672,Day after tommorw,Porter,Late Night,Open Bars,Steamed Broccoli
673,Day after tommorw,Porter,Late Night,Open Bars,Vegan Macaroni & Cheese
674,2023-03-04,Nine,Breakfast,Breakfast,Banana and Coconut Pancakes
675,2023-03-04,Nine,Breakfast,Breakfast,Hard-boiled Cage Free Egg (1)
676,2023-03-04,Nine,Breakfast,Breakfast,Mexican Chorizo Sausage
677,2023-03-04,Nine,Breakfast,Breakfast,Organic Oatmeal Gluten-Free
678,2023-03-04,Nine,Breakfast,Breakfast,Triangle Hash Brown Patty
679,2023-03-04,Nine,Breakfast,Breakfast,Vegan Happy Scramble
680,2023-03-04,Nine,Breakfast,Entrees,Cage-Free Scrambled Eggs
681,2023-03-04,Nine,Breakfast,Clean Plate,Steamed Rice
682,2023-03-04,Nine,Lunch,Breakfast,Banana and Coconut Pancakes
683,2023-03-04,Nine,Lunch,Breakfast,Mexican Chorizo Sausage Patties
684,2023-03-04,Nine,Lunch,Breakfast,Triangle Hash Brown Patty
685,2023-03-04,Nine,Lunch,Breakfast,Vegan Happy Scramble
686,2023-03-04,Nine,Lunch,Soups,Organic Kale and Sweet Potato Soup
687,2023-03-04,Nine,Lunch,Soups,Spicy North African Chicken Soup
688,2023-03-04,Nine,Lunch,Pizza,Cheese Pizza
689,2023-03-04,Nine,Lunch,Pizza,Sausage and Mushroom Pizza
690,2023-03-04,Nine,Lunch,Clean Plate,Allergen Free Halal Chicken Thigh
691,2023-03-04,Nine,Lunch,Clean Plate,Steamed Rice
692,2023-03-04,Nine,Lunch,Clean Plate,Tofu with Kosher Salt
693,2023-03-04,Nine,Lunch,Bakery,Chocolate Cake
694,2023-03-04,Nine,Lunch,Open Bars,Bar Pasta
695,2023-03-04,Nine,Lunch,Open Bars,Cheese Ravioli
696,2023-03-04,Nine,Lunch,Open Bars,Condiments
697,2023-03-04,Nine,Lunch,Open Bars,Gluten Free Rotini Pasta
698,2023-03-04,Nine,Lunch,Open Bars,Marinara Sauce
699,2023-03-04,Nine,Lunch,Open Bars,Meatballs
700,2023-03-04,Nine,Lunch,Open Bars,Penne
701,2023-03-04,Nine,Lunch,Open Bars,Sauteed Garlic Kale
702,2023-03-04,Nine,Dinner,Soups,Organic Black Bean Soup
703,2023-03-04,Nine,Dinner,Soups,Spicy North African Chicken Soup
704,2023-03-04,Nine,Dinner,Entrees,Italian Roasted Tofu
705,2023-03-04,Nine,Dinner,Entrees,Porcini Crusted Roasted Chicken
706,2023-03-04,Nine,Dinner,Entrees,Sauteed Rainbow Chard with Garlic Oil
707,2023-03-04,Nine,Dinner,Entrees,Steamed Brown Rice
708,2023-03-04,Nine,Dinner,Pizza,Cheese Pizza
709,2023-03-04,Nine,Dinner,Pizza,Sausage and Mushroom Pizza
710,2023-03-04,Nine,Dinner,Clean Plate,Allergen Free Halal Chicken Thigh
711,2023-03-04,Nine,Dinner,Clean Plate,Steamed Rice
712,2023-03-04,Nine,Dinner,Clean Plate,Tofu with Kosher Salt
713,2023-03-04,Nine,Dinner,Bakery,Carrot Cake
714,2023-03-04,Nine,Dinner,Open Bars,Chicken Shoyu
715,2023-03-04,Nine,Dinner,Open Bars,Hawaiian Bar
716,2023-03-04,Nine,Dinner,Open Bars,Roasted Yams
717,2023-03-04,Nine,Dinner,Open Bars,Spam Fried Rice
718,2023-03-04,Nine,Dinner,Open Bars,Stir Fry Vegetables
719,2023-03-04,Nine,Dinner,Open Bars,Teriyaki Tofu
720,2023-03-04,Nine,Dinner,Open Bars,Vegan Hawaiian Macaroni Salad
721,2023-03-04,Nine,Late Night,Pizza,Cheese Pizza
722,2023-03-04,Nine,Late Night,Pizza,Sausage and Mushroom Pizza
723,2023-03-04,Nine,Late Night,Clean Plate,Allergen Free Halal Chicken Thigh
724,2023-03-04,Nine,Late Night,Clean Plate,Tofu with Kosher Salt
725,2023-03-04,Nine,Late Night,Open Bars,Chicken Shoyu
726,2023-03-04,Nine,Late Night,Open Bars,Hawaiian Bar
727,2023-03-04,Nine,Late Night,Open Bars,Roasted Yams
728,2023-03-04,Nine,Late Night,Open Bars,Spam Fried Rice
729,2023-03-04,Nine,Late Night,Open Bars,Stir Fry Vegetables
730,2023-03-04,Nine,Late Night,Open Bars,Teriyaki Tofu
731,2023-03-04,Nine,Late Night,Open Bars,Vegan Hawaiian Macaroni Salad
732,2023-03-04,Cowell,Breakfast,Breakfast,Hard-boiled Cage Free Egg (1)
733,2023-03-04,Cowell,Breakfast,Breakfast,Natural Bridges Tofu Scramble
734,2023-03-04,Cowell,Breakfast,Breakfast,Organic Oatmeal Gluten-Free
735,2023-03-04,Cowell,Breakfast,Breakfast,Potatoes O'Brien
736,2023-03-04,Cowell,Breakfast,Breakfast,Sausage Patties
737,2023-03-04,Cowell,Breakfast,Breakfast,Texas French Toast
738,2023-03-04,Cowell,Breakfast,Entrees,Cage-Free Scrambled Eggs
739,2023-03-04,Cowell,Breakfast,Clean Plate,Steamed Rice
740,2023-03-04,Cowell,Breakfast,Bakery,Blueberry Breakfast Bar
741,2023-03-04,Cowell,Breakfast,Bakery,Orange Cranberry Scone
742,2023-03-04,Cowell,Breakfast,Bakery,Pumpkin Spice Breakfast Bar
743,2023-03-04,Cowell,Lunch,Breakfast,Natural Bridges Tofu Scramble
744,2023-03-04,Cowell,Lunch,Breakfast,Potatoes O'Brien
745,2023-03-04,Cowell,Lunch,Breakfast,Sausage Patties
746,2023-03-04,Cowell,Lunch,Breakfast,Texas French Toast
747,2023-03-04,Cowell,Lunch,Soups,Chicken and Pork Sausage Gumbo
748,2023-03-04,Cowell,Lunch,Soups,Organic Lentil and Chickpea Soup
749,2023-03-04,Cowell,Lunch,Grill,Allergen Free Halal Chicken Thigh
750,2023-03-04,Cowell,Lunch,Grill,Tofu with Kosher Salt
751,2023-03-04,Cowell,Lunch,Pizza,Cheese Pizza
752,2023-03-04,Cowell,Lunch,Pizza,Roasted Vegetable Pizza
753,2023-03-04,Cowell,Lunch,Clean Plate,Steamed Rice
754,2023-03-04,Cowell,Lunch,Bakery,Chocolate Cake
755,2023-03-04,Cowell,Lunch,Open Bars,BAR Middle Eastern
756,2023-03-04,Cowell,Lunch,Open Bars,Falafels
757,2023-03-04,Cowell,Lunch,Open Bars,Harissa Roasted Chicken
758,2023-03-04,Cowell,Lunch,Open Bars,Pita Bread
759,2023-03-04,Cowell,Lunch,Open Bars,Roasted Broccoli Rabe
760,2023-03-04,Cowell,Lunch,Open Bars,Tabouleh Salad
761,2023-03-04,Cowell,Lunch,Open Bars,Tzatziki Sauce
762,2023-03-04,Cowell,Lunch,DH Baked,Vegan Chocolate Chip Cookie
763,2023-03-04,Cowell,Dinner,Soups,Cajun Lentil Soup
764,2023-03-04,Cowell,Dinner,Soups,Chicken and Pork Sausage Gumbo
765,2023-03-04,Cowell,Dinner,Entrees,Cajun Meatloaf
766,2023-03-04,Cowell,Dinner,Entrees,Garlic Mashed Yukon Golds
767,2023-03-04,Cowell,Dinner,Entrees,Sauteed Rainbow Chard with Garlic Oil
768,2023-03-04,Cowell,Dinner,Entrees,Tofu with Kosher Salt
769,2023-03-04,Cowell,Dinner,Grill,Allergen Free Halal Chicken Thigh
770,2023-03-04,Cowell,Dinner,Grill,Tofu with Kosher Salt
771,2023-03-04,Cowell,Dinner,Pizza,Cheese Pizza
772,2023-03-04,Cowell,Dinner,Pizza,Roasted Vegetable Pizza
773,2023-03-04,Cowell,Dinner,Clean Plate,Steamed Rice
774,2023-03-04,Cowell,Dinner,Bakery,Carrot Cake
775,2023-03-04,Cowell,Dinner,Open Bars,Gardein and Broccoli Stir Fry
776,2023-03-04,Cowell,Dinner,Open Bars,Grilled Huli Huli Chicken
777,2023-03-04,Cowell,Dinner,Open Bars,Hawaiian Bar
778,2023-03-04,Cowell,Dinner,Open Bars,Hawaiian Coleslaw
779,2023-03-04,Cowell,Dinner,Open Bars,Maui Fried Rice
780,2023-03-04,Cowell,Dinner,Open Bars,Stir Fry Vegetables
781,2023-03-04,Cowell,Dinner,DH Baked,Apple Pie
